House,Aries,Taurus,Gemini,Cancer,Leo,Virgo,Libra,Scorpio,Sagittarius,Capricorn,Aquarius,Pisces
1th House,"Emotional, impulsive, quick decisions, passionate","Stable emotions, affectionate, nurturing, artistic","Intellectual, communicative, versatile, adaptable","Intuitive, sensitive, nurturing, protective","Confident, expressive, dramatic, leadership qualities","Analytical, practical, detail-oriented, health-conscious","Diplomatic, charming, balanced, social","Intense, secretive, transformative, emotional depth","Optimistic, adventurous, philosophical, freedom-loving","Disciplined, responsible, ambitious, practical","Innovative, humanitarian, independent, unconventional","Compassionate, artistic, spiritual, dreamy"
2th House,"Bold in speech, emotionally driven, straightforward","Stable in finances, emotionally driven speech","Skilled in communication, emotionally versatile","Emotionally secure in finances, nurturing speech","Generous in speech, emotionally proud of possessions","Practical approach to wealth, analytical speech","Diplomatic speech, emotionally balanced finances","Intense approach to wealth, secretive about finances","Optimistic about wealth, philosophical speech","Disciplined in financial matters, responsible speech","Innovative income sources, unconventional speech","Compassionate speech, dreamy approach to wealth"
3th House,"Emotional communication, energetic in efforts","Stable in efforts, practical emotional communication","Versatile in efforts, emotionally adaptable","Intuitive communication, nurturing efforts","Confident communication, expressive efforts","Analytical communication, detail-oriented efforts","Balanced communication, diplomatic efforts","Intense communication, secretive efforts","Optimistic communication, adventurous efforts","Disciplined communication, responsible efforts","Innovative communication, unconventional efforts","Compassionate communication, dreamy efforts"
4th House,"Emotional home environment, nurturing domestic affairs","Stable home environment, emotionally secure","Communicative home environment, versatile domestic affairs","Sensitive home environment, protective domestic affairs","Confident home environment, expressive domestic affairs","Practical home environment, detail-oriented domestic affairs","Balanced home environment, diplomatic domestic affairs","Intense home environment, secretive domestic affairs","Optimistic home environment, adventurous domestic affairs","Disciplined home environment, responsible domestic affairs","Innovative home environment, unconventional domestic affairs","Compassionate home environment, dreamy domestic affairs"
5th House,"Emotional creativity, passionate in romance","Stable creativity, nurturing in romance","Versatile creativity, emotionally communicative","Intuitive creativity, nurturing in romance","Expressive creativity, dramatic in romance","Analytical creativity, detail-oriented in romance","Charming creativity, balanced romance","Intense creativity, secretive in romance","Optimistic creativity, adventurous in romance","Disciplined creativity, responsible in romance","Innovative creativity, unconventional in romance","Compassionate creativity, dreamy in romance"
6th House,"Emotional work ethic, driven by feelings","Stable work ethic, emotionally practical","Versatile work ethic, emotionally adaptive","Sensitive work ethic, nurturing service","Confident work ethic, expressive service","Practical work ethic, detail-oriented service","Balanced work ethic, diplomatic service","Intense work ethic, secretive service","Optimistic work ethic, adventurous service","Disciplined work ethic, responsible service","Innovative work ethic, unconventional service","Compassionate work ethic, dreamy service"
7th House,"Emotional partner, impulsive in relationships","Stable partner, nurturing relationships","Versatile partner, communicative relationships","Nurturing partner, protective relationships","Confident partner, dramatic relationships","Analytical partner, detail-oriented relationships","Charming partner, balanced relationships","Intense partner, secretive relationships","Optimistic partner, adventurous relationships","Disciplined partner, responsible relationships","Innovative partner, unconventional relationships","Compassionate partner, dreamy relationships"
8th House,"Intense emotional transformations, energetic in crisis","Stable transformations, practical in crisis","Versatile transformations, emotionally adaptable","Intuitive transformations, nurturing crisis management","Expressive transformations, dramatic in crisis","Practical transformations, detail-oriented crisis management","Diplomatic transformations, balanced crisis management","Intense transformations, secretive crisis management","Optimistic transformations, adventurous crisis management","Disciplined transformations, responsible crisis management","Innovative transformations, unconventional crisis management","Compassionate transformations, dreamy crisis management"
9th House,"Emotional beliefs, passionate in higher education","Stable beliefs, nurturing higher education","Versatile beliefs, emotionally communicative","Intuitive beliefs, emotionally nurturing higher education","Confident beliefs, expressive higher education","Analytical beliefs, detail-oriented higher education","Diplomatic beliefs, emotionally balanced higher education","Intense beliefs, emotionally deep higher education","Optimistic beliefs, philosophical higher education","Disciplined beliefs, responsible higher education","Innovative beliefs, unconventional higher education","Compassionate beliefs, dreamy higher education"
10th House,"Emotional in career, leadership in profession","Stable in career, practical profession","Versatile in career, communicative profession","Sensitive in career, nurturing profession","Expressive in career, leadership profession","Practical in career, detail-oriented profession","Balanced in career, diplomatic profession","Intense in career, secretive profession","Optimistic in career, adventurous profession","Disciplined in career, responsible profession","Innovative in career, unconventional profession","Compassionate in career, dreamy profession"
11th House,"Emotional in social networks, passionate friendships","Stable in social networks, nurturing friendships","Versatile in social networks, communicative friendships","Intuitive in social networks, nurturing friendships","Confident in social networks, dramatic friendships","Analytical in social networks, detail-oriented friendships","Charming in social networks, balanced friendships","Intense in social networks, secretive friendships","Optimistic in social networks, adventurous friendships","Disciplined in social networks, responsible friendships","Innovative in social networks, unconventional friendships","Compassionate in social networks, dreamy friendships"
12th House,"Emotional in spirituality, driven by inner feelings","Stable in spirituality, practical emotions","Versatile in spirituality, emotionally communicative","Sensitive in spirituality, nurturing inner feelings","Expressive in spirituality, leadership in inner feelings","Practical in spirituality, detail-oriented inner feelings","Balanced in spirituality, diplomatic inner feelings","Intense in spirituality, emotionally deep inner feelings","Optimistic in spirituality, philosophical inner feelings","Disciplined in spirituality, responsible inner feelings","Innovative in spirituality, unconventional inner feelings","Compassionate in spirituality, dreamy inner feelings"
